name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean,output_type,histone_mark,transcription_factor
UBERON:0001987 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0001987,placenta,tissue,embryonic,,encode,single,False,0.9213661551475525,CHIP_HISTONE,H3K27me3,
UBERON:0001987 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0001987,placenta,tissue,embryonic,,encode,single,False,1.5290863513946533,CHIP_HISTONE,H3K36me3,
UBERON:0001987 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0001987,placenta,tissue,embryonic,,encode,single,False,1.3510398864746094,CHIP_HISTONE,H3K4me1,
UBERON:0001987 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0001987,placenta,tissue,embryonic,,encode,single,False,0.7686141729354858,CHIP_HISTONE,H3K4me3,
UBERON:0001987 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0001987,placenta,tissue,embryonic,,encode,single,False,1.201725721359253,CHIP_HISTONE,H3K9me3,
UBERON:0002037 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002037,cerebellum,tissue,adult,,encode,single,False,1.2195651531219482,CHIP_HISTONE,H3K4me3,
UBERON:0002038 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002038,substantia nigra,tissue,adult,,encode,single,False,0.9022706151008606,CHIP_HISTONE,H3K27ac,
UBERON:0002038 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002038,substantia nigra,tissue,adult,,encode,single,False,0.8933779001235962,CHIP_HISTONE,H3K36me3,
UBERON:0002038 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002038,substantia nigra,tissue,adult,,encode,single,False,1.0500805377960205,CHIP_HISTONE,H3K4me1,
UBERON:0002038 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002038,substantia nigra,tissue,adult,,encode,single,False,0.8325366973876953,CHIP_HISTONE,H3K4me3,
UBERON:0002038 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002038,substantia nigra,tissue,adult,,encode,single,False,1.0571855306625366,CHIP_HISTONE,H3K9ac,
UBERON:0002046 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002046,thyroid gland,tissue,adult,,encode,single,False,1.0849581956863403,CHIP_HISTONE,H3K27ac,
UBERON:0002046 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002046,thyroid gland,tissue,adult,,encode,single,False,0.8517771363258362,CHIP_HISTONE,H3K36me3,
UBERON:0002046 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002046,thyroid gland,tissue,adult,,encode,single,False,0.8095167279243469,CHIP_HISTONE,H3K4me1,
UBERON:0002046 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002046,thyroid gland,tissue,adult,,encode,single,False,1.038463830947876,CHIP_HISTONE,H3K4me3,
UBERON:0002048 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,adult,,encode,single,False,1.4589347839355469,CHIP_HISTONE,H3K27ac,
UBERON:0002048 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,embryonic,,encode,single,False,0.9830350279808044,CHIP_HISTONE,H3K27me3,
UBERON:0002048 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,adult,,encode,single,False,1.7142006158828735,CHIP_HISTONE,H3K36me3,
UBERON:0002048 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,adult,,encode,single,False,2.136195182800293,CHIP_HISTONE,H3K4me1,
UBERON:0002048 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,adult,,encode,single,False,1.4228606224060059,CHIP_HISTONE,H3K4me3,
UBERON:0002048 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,embryonic,,encode,single,False,1.1020851135253906,CHIP_HISTONE,H3K9ac,
UBERON:0002048 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002048,lung,tissue,adult,,encode,single,False,1.596697211265564,CHIP_HISTONE,H3K9me3,
UBERON:0002078 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002078,right cardiac atrium,tissue,adult,,encode,single,False,1.2285999059677124,CHIP_HISTONE,H3K27ac,
UBERON:0002078 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002078,right cardiac atrium,tissue,adult,,encode,single,False,1.5381871461868286,CHIP_HISTONE,H3K4me1,
UBERON:0002078 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002078,right cardiac atrium,tissue,adult,,encode,single,False,0.9993526339530945,CHIP_HISTONE,H3K4me3,
UBERON:0002080 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode,single,False,0.742721438407898,CHIP_HISTONE,H3K27ac,
UBERON:0002080 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode,single,False,0.8221991062164307,CHIP_HISTONE,H3K27me3,
UBERON:0002080 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode,single,False,0.7794134616851807,CHIP_HISTONE,H3K36me3,
UBERON:0002080 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode,single,False,0.7713398337364197,CHIP_HISTONE,H3K4me1,
UBERON:0002080 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode,single,False,0.7453254461288452,CHIP_HISTONE,H3K4me3,
UBERON:0002080 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002080,heart right ventricle,tissue,adult,,encode,single,False,0.8001134991645813,CHIP_HISTONE,H3K9me3,
UBERON:0002084 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode,single,False,0.8882824778556824,CHIP_HISTONE,H3K27ac,
UBERON:0002084 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode,single,False,0.7984142303466797,CHIP_HISTONE,H3K27me3,
UBERON:0002084 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode,single,False,0.8181394338607788,CHIP_HISTONE,H3K36me3,
UBERON:0002084 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode,single,False,0.8571037650108337,CHIP_HISTONE,H3K4me1,
UBERON:0002084 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode,single,False,0.7315558195114136,CHIP_HISTONE,H3K4me3,
UBERON:0002084 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002084,heart left ventricle,tissue,adult,,encode,single,False,0.890792191028595,CHIP_HISTONE,H3K9me3,
UBERON:0002106 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002106,spleen,tissue,adult,,encode,single,False,0.7800244092941284,CHIP_HISTONE,H3K27ac,
UBERON:0002106 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002106,spleen,tissue,adult,,encode,single,False,0.8321865200996399,CHIP_HISTONE,H3K27me3,
UBERON:0002106 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002106,spleen,tissue,adult,,encode,single,False,0.8215964436531067,CHIP_HISTONE,H3K36me3,
UBERON:0002106 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002106,spleen,tissue,adult,,encode,single,False,0.8138890862464905,CHIP_HISTONE,H3K4me1,
UBERON:0002106 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002106,spleen,tissue,adult,,encode,single,False,0.7977772951126099,CHIP_HISTONE,H3K4me3,
UBERON:0002106 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002106,spleen,tissue,adult,,encode,single,False,0.8140273690223694,CHIP_HISTONE,H3K9me3,
UBERON:0002107 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002107,liver,tissue,adult,,encode,single,False,0.9069214463233948,CHIP_HISTONE,H3K27ac,
UBERON:0002107 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002107,liver,tissue,adult,,encode,single,False,0.8101385235786438,CHIP_HISTONE,H3K36me3,
UBERON:0002107 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002107,liver,tissue,adult,,encode,single,False,0.7480568885803223,CHIP_HISTONE,H3K4me1,
UBERON:0002107 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002107,liver,tissue,adult,,encode,single,False,0.7054669857025146,CHIP_HISTONE,H3K4me3,
UBERON:0002107 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002107,liver,tissue,adult,,encode,single,False,0.8565387725830078,CHIP_HISTONE,H3K9ac,
UBERON:0002107 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002107,liver,tissue,adult,,encode,single,False,1.423638939857483,CHIP_HISTONE,H3K9me3,
UBERON:0002108 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002108,small intestine,tissue,adult,,encode,single,False,1.5306456089019775,CHIP_HISTONE,H3K27ac,
UBERON:0002108 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002108,small intestine,tissue,embryonic,,encode,single,False,1.321641445159912,CHIP_HISTONE,H3K27me3,
UBERON:0002108 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002108,small intestine,tissue,adult,,encode,single,False,1.1116917133331299,CHIP_HISTONE,H3K36me3,
UBERON:0002108 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002108,small intestine,tissue,embryonic,,encode,single,False,1.1648976802825928,CHIP_HISTONE,H3K4me1,
UBERON:0002108 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002108,small intestine,tissue,adult,,encode,single,False,0.9390207529067993,CHIP_HISTONE,H3K4me3,
UBERON:0002108 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002108,small intestine,tissue,embryonic,,encode,single,False,1.295670986175537,CHIP_HISTONE,H3K9me3,
UBERON:0002113 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002113,kidney,tissue,adult,,encode,single,False,0.9552195072174072,CHIP_HISTONE,H3K27ac,
UBERON:0002113 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002113,kidney,tissue,adult,,encode,single,False,0.798854410648346,CHIP_HISTONE,H3K36me3,
UBERON:0002113 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002113,kidney,tissue,adult,,encode,single,False,0.8005074858665466,CHIP_HISTONE,H3K4me1,
UBERON:0002113 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002113,kidney,tissue,adult,,encode,single,False,0.7985708117485046,CHIP_HISTONE,H3K4me3,
UBERON:0002113 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002113,kidney,tissue,adult,,encode,single,False,0.8986935615539551,CHIP_HISTONE,H3K9ac,
UBERON:0002168 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002168,left lung,tissue,adult,,encode,single,False,0.8949621319770813,CHIP_HISTONE,H3K27ac,
UBERON:0002168 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002168,left lung,tissue,adult,,encode,single,False,0.8752104640007019,CHIP_HISTONE,H3K27me3,
UBERON:0002168 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002168,left lung,tissue,adult,,encode,single,False,0.8681212663650513,CHIP_HISTONE,H3K36me3,
UBERON:0002168 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002168,left lung,tissue,adult,,encode,single,False,0.9048176407814026,CHIP_HISTONE,H3K4me1,
UBERON:0002168 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002168,left lung,tissue,adult,,encode,single,False,0.9501997828483582,CHIP_HISTONE,H3K4me3,
UBERON:0002168 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002168,left lung,tissue,adult,,encode,single,False,1.1099082231521606,CHIP_HISTONE,H3K9me3,
UBERON:0002170 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,,encode,single,False,0.8909234404563904,CHIP_HISTONE,H3K27ac,
UBERON:0002170 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,,encode,single,False,0.8416327834129333,CHIP_HISTONE,H3K36me3,
UBERON:0002170 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,,encode,single,False,0.8523540496826172,CHIP_HISTONE,H3K4me1,
UBERON:0002170 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002170,upper lobe of right lung,tissue,adult,,encode,single,False,0.9516236186027527,CHIP_HISTONE,H3K4me3,
UBERON:0002171 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,,encode,single,False,0.9444779753684998,CHIP_HISTONE,H3K27ac,
UBERON:0002171 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,,encode,single,False,0.9000256061553955,CHIP_HISTONE,H3K27me3,
UBERON:0002171 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,,encode,single,False,0.8784345984458923,CHIP_HISTONE,H3K36me3,
UBERON:0002171 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,,encode,single,False,0.8521840572357178,CHIP_HISTONE,H3K4me1,
UBERON:0002171 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002171,lower lobe of right lung,tissue,adult,,encode,single,False,0.9574486017227173,CHIP_HISTONE,H3K4me3,
UBERON:0002240 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode,single,False,1.5454556941986084,CHIP_HISTONE,H3K27ac,
UBERON:0002240 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode,single,False,1.2282136678695679,CHIP_HISTONE,H3K27me3,
UBERON:0002240 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode,single,False,1.335628867149353,CHIP_HISTONE,H3K36me3,
UBERON:0002240 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode,single,False,2.040064573287964,CHIP_HISTONE,H3K4me1,
UBERON:0002240 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002240,spinal cord,tissue,embryonic,,encode,single,False,1.6200331449508667,CHIP_HISTONE,H3K4me3,
UBERON:0002305 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002305,layer of hippocampus,tissue,adult,,encode,single,False,0.9011349081993103,CHIP_HISTONE,H3K27ac,
UBERON:0002305 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002305,layer of hippocampus,tissue,adult,,encode,single,False,0.7941612601280212,CHIP_HISTONE,H3K36me3,
UBERON:0002305 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002305,layer of hippocampus,tissue,adult,,encode,single,False,0.8219332695007324,CHIP_HISTONE,H3K4me1,
UBERON:0002305 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002305,layer of hippocampus,tissue,adult,,encode,single,False,0.7843244075775146,CHIP_HISTONE,H3K4me3,
UBERON:0002305 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002305,layer of hippocampus,tissue,adult,,encode,single,False,1.1184202432632446,CHIP_HISTONE,H3K9ac,
UBERON:0002367 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002367,prostate gland,tissue,adult,,encode,single,False,0.8253678679466248,CHIP_HISTONE,H3K27ac,
UBERON:0002367 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002367,prostate gland,tissue,adult,,encode,single,False,0.8486926555633545,CHIP_HISTONE,H3K36me3,
UBERON:0002367 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002367,prostate gland,tissue,adult,,encode,single,False,0.827519953250885,CHIP_HISTONE,H3K4me3,
UBERON:0002369 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002369,adrenal gland,tissue,adult,,encode,single,False,0.7852216958999634,CHIP_HISTONE,H3K27ac,
UBERON:0002369 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002369,adrenal gland,tissue,embryonic,,encode,single,False,1.6154215335845947,CHIP_HISTONE,H3K27me3,
UBERON:0002369 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002369,adrenal gland,tissue,adult,,encode,single,False,0.8357100486755371,CHIP_HISTONE,H3K36me3,
UBERON:0002369 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002369,adrenal gland,tissue,adult,,encode,single,False,0.8265619277954102,CHIP_HISTONE,H3K4me1,
UBERON:0002369 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002369,adrenal gland,tissue,adult,,encode,single,False,0.9138931035995483,CHIP_HISTONE,H3K4me3,
UBERON:0002369 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002369,adrenal gland,tissue,embryonic,,encode,single,False,1.4173235893249512,CHIP_HISTONE,H3K9me3,
UBERON:0002370 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,0.9632824063301086,CHIP_HISTONE,H3K27ac,
UBERON:0002370 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,0.9465627074241638,CHIP_HISTONE,H3K27me3,
UBERON:0002370 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,1.3685346841812134,CHIP_HISTONE,H3K36me3,
UBERON:0002370 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,1.824151873588562,CHIP_HISTONE,H3K4me1,
UBERON:0002370 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,1.1562947034835815,CHIP_HISTONE,H3K4me3,
UBERON:0002370 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0002370,thymus,tissue,embryonic,,encode,single,False,1.4777132272720337,CHIP_HISTONE,H3K9me3,
UBERON:0002686 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002686,angular gyrus,tissue,adult,,encode,single,False,0.9001856446266174,CHIP_HISTONE,H3K27ac,
UBERON:0002686 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002686,angular gyrus,tissue,adult,,encode,single,False,0.8129374980926514,CHIP_HISTONE,H3K36me3,
UBERON:0002686 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002686,angular gyrus,tissue,adult,,encode,single,False,0.8170185089111328,CHIP_HISTONE,H3K4me1,
UBERON:0002686 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002686,angular gyrus,tissue,adult,,encode,single,False,0.8224157094955444,CHIP_HISTONE,H3K4me3,
UBERON:0002686 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002686,angular gyrus,tissue,adult,,encode,single,False,1.0026452541351318,CHIP_HISTONE,H3K9ac,
UBERON:0002967 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0002967,cingulate gyrus,tissue,adult,,encode,single,False,0.8721300959587097,CHIP_HISTONE,H3K27ac,
UBERON:0002967 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0002967,cingulate gyrus,tissue,adult,,encode,single,False,0.8179123401641846,CHIP_HISTONE,H3K36me3,
UBERON:0002967 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0002967,cingulate gyrus,tissue,adult,,encode,single,False,0.8339878916740417,CHIP_HISTONE,H3K4me1,
UBERON:0002967 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0002967,cingulate gyrus,tissue,adult,,encode,single,False,0.8354508876800537,CHIP_HISTONE,H3K4me3,
UBERON:0002967 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0002967,cingulate gyrus,tissue,adult,,encode,single,False,1.1167891025543213,CHIP_HISTONE,H3K9ac,
UBERON:0003124 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0003124,chorion,tissue,embryonic,,encode,single,False,1.1212384700775146,CHIP_HISTONE,H3K27ac,
UBERON:0003124 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0003124,chorion,tissue,embryonic,,encode,single,False,1.0928360223770142,CHIP_HISTONE,H3K36me3,
UBERON:0003124 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0003124,chorion,tissue,embryonic,,encode,single,False,1.134663701057434,CHIP_HISTONE,H3K4me1,
UBERON:0003124 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0003124,chorion,tissue,embryonic,,encode,single,False,1.0205134153366089,CHIP_HISTONE,H3K4me3,
UBERON:0003346 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0003346,mucosa of rectum,tissue,adult,,encode,single,False,1.2068597078323364,CHIP_HISTONE,H3K27ac,
UBERON:0003346 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0003346,mucosa of rectum,tissue,adult,,encode,single,False,0.8918594121932983,CHIP_HISTONE,H3K36me3,
UBERON:0003346 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0003346,mucosa of rectum,tissue,adult,,encode,single,False,0.9211472272872925,CHIP_HISTONE,H3K4me1,
UBERON:0003346 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0003346,mucosa of rectum,tissue,adult,,encode,single,False,0.9614381790161133,CHIP_HISTONE,H3K4me3,
UBERON:0003346 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0003346,mucosa of rectum,tissue,adult,,encode,single,False,0.8959307074546814,CHIP_HISTONE,H3K9ac,
UBERON:0004222 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0004222,stomach smooth muscle,tissue,adult,,encode,single,False,1.061765193939209,CHIP_HISTONE,H3K27ac,
UBERON:0004222 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0004222,stomach smooth muscle,tissue,adult,,encode,single,False,0.8521047234535217,CHIP_HISTONE,H3K27me3,
UBERON:0004222 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0004222,stomach smooth muscle,tissue,adult,,encode,single,False,0.826144814491272,CHIP_HISTONE,H3K36me3,
UBERON:0004222 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0004222,stomach smooth muscle,tissue,adult,,encode,single,False,1.913686752319336,CHIP_HISTONE,H3K4me1,
UBERON:0004222 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0004222,stomach smooth muscle,tissue,adult,,encode,single,False,0.9053452610969543,CHIP_HISTONE,H3K4me3,
UBERON:0004222 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,UBERON:0004222,stomach smooth muscle,tissue,adult,,encode,single,False,0.7713716626167297,CHIP_HISTONE,H3K9ac,
UBERON:0004550 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode,single,False,1.4019594192504883,CHIP_HISTONE,H3K27ac,
UBERON:0004550 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode,single,False,0.860275387763977,CHIP_HISTONE,H3K27me3,
UBERON:0004550 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode,single,False,0.9105188250541687,CHIP_HISTONE,H3K36me3,
UBERON:0004550 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode,single,False,0.8863487243652344,CHIP_HISTONE,H3K4me1,
UBERON:0004550 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode,single,False,0.7414591312408447,CHIP_HISTONE,H3K4me3,
UBERON:0004550 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0004550,gastroesophageal sphincter,tissue,adult,,encode,single,False,0.8467487692832947,CHIP_HISTONE,H3K9me3,
UBERON:0004648 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode,single,False,0.7982273697853088,CHIP_HISTONE,H3K27ac,
UBERON:0004648 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode,single,False,0.9206722378730774,CHIP_HISTONE,H3K27me3,
UBERON:0004648 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode,single,False,0.816602349281311,CHIP_HISTONE,H3K36me3,
UBERON:0004648 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode,single,False,0.8247384428977966,CHIP_HISTONE,H3K4me1,
UBERON:0004648 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode,single,False,0.7969858050346375,CHIP_HISTONE,H3K4me3,
UBERON:0004648 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0004648,esophagus muscularis mucosa,tissue,adult,,encode,single,False,0.8506141304969788,CHIP_HISTONE,H3K9me3,
UBERON:0004992 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,,encode,single,False,0.9400363564491272,CHIP_HISTONE,H3K4me1,
UBERON:0004992 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,,encode,single,False,0.9843800067901611,CHIP_HISTONE,H3K4me3,
UBERON:0004992 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,UBERON:0004992,mucosa of descending colon,tissue,adult,,encode,single,False,1.0794081687927246,CHIP_HISTONE,H3K9me3,
UBERON:0006631 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,UBERON:0006631,right atrium auricular region,tissue,adult,,encode,single,False,1.5091086626052856,CHIP_HISTONE,H3K27ac,
